Name;Horses;Group;Date;Day;EPG;EPG_corrected;Dev;MF_g;MS_g
KELBLAGUE DE SPI;5;Chicory;10/10/2022;d45;60;;5,277777778;;
KELELAPOM DE SPI;6;Chicory;10/10/2022;d45;0;;0;;
KIPIKI DE SPI;7;Chicory;10/10/2022;d45;15;;0;;
KOMPROMI DE SPI;8;Chicory;10/10/2022;d45;30;;9,333333333;;
KONTENTE DE SPI;9;Chicory;10/10/2022;d45;60;;0;;
KUNE ESPRIT;10;Chicory;10/10/2022;d45;15;;17,88888889;;
KANICULE DE SPI;11;Control;10/10/2022;d45;840;;18,29761905;;
KARAPATE DE SPI;12;Control;10/10/2022;d45;1455;;9,713631157;;
KELISANDE DE SPI;13;Control;10/10/2022;d45;630;;27,88359788;;
KEMELISS DE SPI;14;Control;10/10/2022;d45;420;;18,75;;
KHALICI DE SPI;15;Control;10/10/2022;d45;1095;;18,37899543;;
KIKAVULAPOM DE SPI;16;Control;10/10/2022;d45;435;;27,84291188;;
KOLINE DES ESPRITS;17;Control;10/10/2022;d45;855;;13,26315789;;
KUPIDON DE SPI;18;Control;10/10/2022;d45;1110;;31,09309309;;
KUTRICULE DE SPI;19;Control;10/10/2022;d45;930;;38,14516129;;
KWEEN DE SPIRIT;20;Control;10/10/2022;d45;870;;12,59386973;;
